ID,Sex,Team,Age,Height,Weight,Medal
15,M,Finland,30.0,,,Bronze
15,M,Finland,30.0,,,Bronze
16,M,Finland,28.0,184.0,85.0,Bronze
17,M,Finland,28.0,175.0,64.0,Bronze
17,M,Finland,28.0,175.0,64.0,Gold
17,M,Finland,28.0,175.0,64.0,Gold
17,M,Finland,28.0,175.0,64.0,Gold
17,M,Finland,32.0,175.0,64.0,Bronze
20,M,Norway,20.0,176.0,85.0,Gold
20,M,Norway,20.0,176.0,85.0,Bronze
20,M,Norway,22.0,176.0,85.0,Silver
20,M,Norway,22.0,176.0,85.0,Bronze
20,M,Norway,22.0,176.0,85.0,Silver
20,M,Norway,30.0,176.0,85.0,Gold
20,M,Norway,30.0,176.0,85.0,Gold
20,M,Norway,34.0,176.0,85.0,Gold
21,F,Norway,27.0,163.0,,Gold
25,M,Norway,24.0,,,Silver
29,F,Netherlands,22.0,,,Bronze
30,M,Netherlands,26.0,189.0,72.0,Silver
37,F,Norway,23.0,182.0,64.0,Bronze
38,M,Norway,20.0,,,Silver
40,M,Norway,23.0,,,Bronze
40,M,Norway,31.0,,,Gold
42,M,Taifun,25.0,,,Gold
56,M,France,21.0,,,Gold
62,M,Italy,21.0,198.0,90.0,Bronze
63,M,Spain,30.0,194.0,87.0,Bronze
65,F,Azerbaijan,21.0,165.0,49.0,Bronze
67,F,Russia,22.0,179.0,80.0,Silver
72,M,Belarus,28.0,180.0,83.0,Gold
73,M,France,23.0,182.0,86.0,Gold
73,M,France,27.0,182.0,86.0,Gold
73,M,France,31.0,182.0,86.0,Silver
76,M,Cameroon,22.0,185.0,82.0,Gold
80,M,Spain,22.0,186.0,83.0,Gold
84,M,United States,26.0,165.0,55.0,Silver
85,M,Spain,28.0,181.0,82.0,Gold
86,M,Spain,26.0,182.0,67.0,Bronze
90,F,Russia,21.0,163.0,60.0,Silver
93,M,France,38.0,190.0,85.0,Gold
99,M,Hungary,30.0,181.0,79.0,Silver
100,M,Hungary,22.0,,,Bronze
103,M,Italy,25.0,,,Bronze
106,M,Italy,22.0,188.0,96.0,Gold
106,M,Italy,29.0,188.0,96.0,Gold
106,M,Italy,34.0,188.0,96.0,Gold
107,M,Italy,22.0,182.0,90.0,Gold
107,M,Italy,26.0,182.0,90.0,Gold
107,M,Italy,30.0,182.0,90.0,Silver
108,M,Italy,25.0,187.0,97.0,Gold
108,M,Italy,29.0,187.0,97.0,Gold
108,M,Italy,33.0,187.0,97.0,Silver
143,M,Australia,21.0,184.0,87.0,Bronze
145,M,United States,28.0,175.0,70.0,Bronze
150,F,United States,23.0,,,Gold
153,F,United States,23.0,191.0,88.0,Silver
165,F,United States,20.0,175.0,56.0,Silver
250,M,Iran,26.0,170.0,80.0,Bronze
259,F,Canada,21.0,173.0,59.0,Bronze
297,M,Pakistan,38.0,169.0,91.0,Gold
298,M,Pakistan,23.0,181.0,72.0,Silver
316,M,Soviet Union,26.0,160.0,62.0,Gold
337,M,Uzbekistan,26.0,169.0,63.0,Gold
339,M,Azerbaijan,25.0,167.0,55.0,Silver
339,M,Azerbaijan,29.0,167.0,55.0,Gold
351,M,United States,23.0,202.0,104.0,Gold
357,M,Tajikistan,30.0,170.0,84.0,Silver
359,M,Unified Team,26.0,190.0,125.0,Gold
367,M,Japan,28.0,175.0,64.0,Gold
379,M,Ethiopia,21.0,160.0,50.0,Bronze
385,M,Switzerland,22.0,,,Silver
391,M,United States,23.0,185.0,102.0,Silver
392,M,Canada,35.0,,,Gold
394,F,East Germany,19.0,160.0,48.0,Silver
395,F,Canada,20.0,160.0,62.0,Bronze
399,M,Fornebo,20.0,,,Silver
401,M,Spain,22.0,,,Gold
404,M,Vesper Boat Club,15.0,,,Gold
404,M,Vesper Boat Club,19.0,,,Gold
411,M,Ethiopia,22.0,166.0,58.0,Gold
416,M,Sweden,19.0,181.0,78.0,Bronze
416,M,Sweden,19.0,181.0,78.0,Silver
423,M,United States,22.0,182.0,84.0,Gold
424,F,South Africa,17.0,,,Bronze
428,F,Turkey,25.0,159.0,40.0,Silver
443,M,Bulgaria,29.0,172.0,82.0,Gold
454,M,United States,19.0,182.0,68.0,Gold
455,M,Russia,19.0,161.0,62.0,Bronze
455,M,Russia,19.0,161.0,62.0,Silver
455,M,Russia,24.0,161.0,62.0,Silver
455,M,Russia,24.0,161.0,62.0,Silver
455,M,Russia,24.0,161.0,62.0,Bronze
460,M,Soviet Union,22.0,190.0,78.0,Silver
460,M,Soviet Union,22.0,190.0,78.0,Bronze
465,M,Australia,30.0,197.0,92.0,Bronze
495,M,Egypt,21.0,188.0,87.0,Silver
507,M,Hungary,21.0,192.0,88.0,Bronze
507,M,Hungary,21.0,192.0,88.0,Gold
507,M,Hungary,25.0,192.0,88.0,Silver
509,M,Great Britain,21.0,175.0,64.0,Bronze
514,M,Sweden,29.0,191.0,84.0,Silver
519,M,Great Britain,24.0,183.0,75.0,Gold
519,M,Great Britain,24.0,183.0,75.0,Silver
521,M,Norway,21.0,,,Gold
527,M,Sweden,22.0,172.0,61.0,Bronze
529,M,Sweden,31.0,,,Silver
543,M,Russia,25.0,198.0,89.0,Bronze
547,F,Soviet Union,24.0,171.0,60.0,Silver
548,F,Russia,23.0,167.0,65.0,Bronze
576,M,Spain,23.0,198.0,93.0,Bronze
580,F,Russia,28.0,188.0,77.0,Bronze
582,M,Soviet Union,22.0,168.0,68.0,Gold
583,M,France,23.0,180.0,68.0,Gold
583,M,France,27.0,180.0,68.0,Gold
608,M,Jordan,20.0,178.0,68.0,Gold
610,F,Japan,26.0,148.0,46.0,Bronze
618,M,Soviet Union,25.0,189.0,81.0,Bronze
619,M,Soviet Union,20.0,170.0,62.0,Gold
627,F,Romania,16.0,150.0,40.0,Bronze
629,M,France,24.0,194.0,104.0,Gold
634,M,Switzerland,20.0,176.0,82.0,Bronze
639,M,Spain,21.0,,,Silver
646,M,Puerto Rico,21.0,176.0,67.0,Bronze
654,M,Mexico,19.0,158.0,52.0,Silver
669,M,Ghana,18.0,181.0,73.0,Bronze
670,M,Switzerland,24.0,176.0,75.0,Silver
673,M,Morocco,29.0,165.0,54.0,Bronze
674,M,Morocco,27.0,174.0,57.0,Bronze
680,F,Soviet Union,30.0,168.0,63.0,Bronze
690,F,Netherlands,27.0,172.0,72.0,Bronze
690,F,Netherlands,31.0,172.0,72.0,Silver
697,M,Sweden,22.0,,,Gold
698,M,New Zealand,27.0,179.0,68.0,Gold
699,M,United States,22.0,,,Gold
702,M,Germany,24.0,184.0,69.0,Silver
702,M,Germany,24.0,184.0,69.0,Silver
702,M,Germany,28.0,184.0,69.0,Silver
716,M,Argentina,20.0,168.0,72.0,Gold
