ID,Sex,Team,NOC,Year,Season,Sport,Medal
97712,M,Greece,GRE,1896,Summer,Fencing,Gold
36739,M,Greece,GRE,1896,Summer,Shooting,Gold
36739,M,Greece,GRE,1896,Summer,Shooting,Silver
59429,M,Greece,GRE,1896,Summer,Wrestling,Bronze
59374,M,Greece,GRE,1896,Summer,Swimming,Bronze
59266,M,Greece,GRE,1896,Summer,Swimming,Silver
85988,M,Denmark,DEN,1896,Summer,Fencing,Bronze
85988,M,Denmark,DEN,1896,Summer,Shooting,Bronze
38860,M,United States,USA,1896,Summer,Athletics,Silver
38860,M,United States,USA,1896,Summer,Athletics,Silver
38860,M,United States,USA,1896,Summer,Athletics,Gold
38860,M,United States,USA,1896,Summer,Athletics,Gold
58546,M,Hungary,HUN,1896,Summer,Athletics,Bronze
102806,M,Germany,GER,1896,Summer,Gymnastics,Gold
102806,M,Germany,GER,1896,Summer,Gymnastics,Gold
86277,M,Greece,GRE,1896,Summer,Weightlifting,Bronze
86280,M,Greece,GRE,1896,Summer,Cycling,Silver
86280,M,Greece,GRE,1896,Summer,Cycling,Silver
39588,M,Greece,GRE,1896,Summer,Fencing,Gold
58394,M,Great Britain,GBR,1896,Summer,Cycling,Silver
36739,M,Greece,GRE,1896,Summer,Shooting,Bronze
85988,M,Denmark,DEN,1896,Summer,Shooting,Silver
35741,M,Germany,GER,1896,Summer,Gymnastics,Gold
35741,M,Germany,GER,1896,Summer,Gymnastics,Gold
107607,M,Germany,GER,1896,Summer,Gymnastics,Gold
107607,M,Germany,GER,1896,Summer,Gymnastics,Gold
85456,M,Germany,GER,1896,Summer,Gymnastics,Gold
107006,M,Austria,AUT,1896,Summer,Cycling,Gold
107006,M,Austria,AUT,1896,Summer,Cycling,Bronze
107006,M,Austria,AUT,1896,Summer,Cycling,Bronze
85456,M,Germany,GER,1896,Summer,Gymnastics,Gold
85477,M,Austria,AUT,1896,Summer,Swimming,Gold
62552,M,Greece,GRE,1896,Summer,Cycling,Gold
57767,M,Ethnikos Gymnastikos Syllogos,GRE,1896,Summer,Gymnastics,Bronze
62185,M,Greece,GRE,1896,Summer,Cycling,Silver
35698,M,Australia,AUS,1896,Summer,Athletics,Gold
93607,M,Greece,GRE,1896,Summer,Gymnastics,Bronze
35708,M,France,FRA,1896,Summer,Cycling,Bronze
35708,M,France,FRA,1896,Summer,Cycling,Silver
35708,M,France,FRA,1896,Summer,Cycling,Gold
35740,M,Germany,GER,1896,Summer,Gymnastics,Gold
35740,M,Germany,GER,1896,Summer,Gymnastics,Gold
35740,M,Germany,GER,1896,Summer,Gymnastics,Silver
35740,M,Germany,GER,1896,Summer,Gymnastics,Gold
35698,M,Australia/Great Britain,AUS,1896,Summer,Tennis,Bronze
57486,M,Greece,GRE,1896,Summer,Shooting,Gold
57436,M,Greece,GRE,1896,Summer,Fencing,Silver
40851,M,Great Britain,GBR,1896,Summer,Athletics,Bronze
53542,M,United States,USA,1896,Summer,Athletics,Silver
44875,M,Hungary,HUN,1896,Summer,Swimming,Gold
44875,M,Hungary,HUN,1896,Summer,Swimming,Gold
129377,M,Germany,GER,1896,Summer,Gymnastics,Silver
16616,M,United States,USA,1896,Summer,Athletics,Gold
16616,M,United States,USA,1896,Summer,Athletics,Gold
91355,M,Greece,GRE,1896,Summer,Athletics,Silver
50399,M,United States,USA,1896,Summer,Athletics,Gold
91932,M,Greece,GRE,1896,Summer,Tennis,Bronze
18785,M,Greece,GRE,1896,Summer,Tennis,Silver
92301,M,Greece,GRE,1896,Summer,Shooting,Silver
93091,M,Greece,GRE,1896,Summer,Swimming,Silver
94075,M,Greece-1,GRE,1896,Summer,Tennis,Silver
48195,M,Austria,AUT,1896,Summer,Swimming,Silver
93575,M,France,FRA,1896,Summer,Fencing,Silver
49185,M,Germany,GER,1896,Summer,Gymnastics,Bronze
49185,M,Germany,GER,1896,Summer,Athletics,Silver
17492,M,France,FRA,1896,Summer,Fencing,Silver
48633,M,Germany,GER,1896,Summer,Gymnastics,Gold
48633,M,Germany,GER,1896,Summer,Gymnastics,Gold
94715,M,Greece,GRE,1896,Summer,Fencing,Bronze
107613,M,Germany,GER,1896,Summer,Gymnastics,Gold
18785,M,Greece-1,GRE,1896,Summer,Tennis,Silver
129377,M,Germany,GER,1896,Summer,Gymnastics,Gold
101352,M,Australia/Great Britain,GBR,1896,Summer,Tennis,Bronze
40985,M,Germany,GER,1896,Summer,Cycling,Silver
89416,M,Greece,GRE,1896,Summer,Shooting,Silver
