ID,Sex,Team,NOC,Year,Season,Sport,Medal
115917,M,Norway,NOR,1924,Winter,Cross Country Skiing,Silver
53154,M,Great Britain,GBR,1924,Winter,Curling,Gold
43401,M,Norway,NOR,1924,Winter,Cross Country Skiing,Silver
35388,M,Australia,AUS,1924,Winter,Alpinism,Gold
109611,M,India,IND,1924,Winter,Alpinism,Gold
98762,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
128001,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
3872,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
109613,M,India,IND,1924,Winter,Alpinism,Gold
43401,M,Norway,NOR,1924,Winter,Nordic Combined,Bronze
106776,M,Switzerland-1,SUI,1924,Winter,Bobsleigh,Gold
39125,M,Switzerland,SUI,1924,Winter,Figure Skating,Bronze
48837,M,Finland,FIN,1924,Winter,Military Ski Patrol,Silver
30131,M,United States,USA,1924,Winter,Ice Hockey,Silver
21891,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
82987,M,Belgium-1,BEL,1924,Winter,Bobsleigh,Bronze
115888,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
127948,M,Sweden,SWE,1924,Winter,Curling,Silver
109614,M,India,IND,1924,Winter,Alpinism,Gold
109615,M,India,IND,1924,Winter,Alpinism,Gold
109617,M,India,IND,1924,Winter,Alpinism,Gold
95348,F,Austria,AUT,1924,Winter,Figure Skating,Gold
46625,M,Norway,NOR,1924,Winter,Cross Country Skiing,Gold
56239,M,Switzerland,SUI,1924,Winter,Military Ski Patrol,Gold
56238,M,Switzerland,SUI,1924,Winter,Military Ski Patrol,Gold
56230,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
120150,M,Finland,FIN,1924,Winter,Speed Skating,Silver
120150,M,Finland,FIN,1924,Winter,Speed Skating,Gold
112764,M,Great Britain-1,GBR,1924,Winter,Bobsleigh,Silver
72663,M,United States,USA,1924,Winter,Ice Hockey,Silver
95221,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
10435,M,Austria,AUT,1924,Winter,Figure Skating,Gold
17626,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
13234,M,Norway,NOR,1924,Winter,Ski Jumping,Silver
80825,M,Norway,NOR,1924,Winter,Speed Skating,Bronze
113030,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
53130,M,Great Britain,GBR,1924,Winter,Curling,Gold
109618,M,India,IND,1924,Winter,Alpinism,Gold
74134,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
4060,M,France,FRA,1924,Winter,Curling,Bronze
43401,M,Norway,NOR,1924,Winter,Cross Country Skiing,Bronze
126132,M,Belgium-1,BEL,1924,Winter,Bobsleigh,Bronze
15659,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
88902,M,Norway,NOR,1924,Winter,Speed Skating,Silver
15656,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
5232,M,Great Britain-1,GBR,1924,Winter,Bobsleigh,Silver
115917,M,Norway,NOR,1924,Winter,Nordic Combined,Silver
66838,M,Norway,NOR,1924,Winter,Speed Skating,Bronze
129563,M,Great Britain,GBR,1924,Winter,Curling,Gold
66838,M,Norway,NOR,1924,Winter,Speed Skating,Bronze
66838,M,Norway,NOR,1924,Winter,Speed Skating,Silver
66838,M,Norway,NOR,1924,Winter,Speed Skating,Bronze
15400,M,Great Britain-1,GBR,1924,Winter,Bobsleigh,Silver
74363,M,France,FRA,1924,Winter,Military Ski Patrol,Bronze
64263,M,Sweden,SWE,1924,Winter,Curling,Silver
23463,M,France,FRA,1924,Winter,Curling,Bronze
5932,M,Switzerland,SUI,1924,Winter,Military Ski Patrol,Gold
82848,F,Great Britain,GBR,1924,Winter,Figure Skating,Bronze
94224,M,Sweden,SWE,1924,Winter,Curling,Silver
54713,M,United States,USA,1924,Winter,Speed Skating,Gold
100456,M,United States,USA,1924,Winter,Ice Hockey,Silver
66838,M,Norway,NOR,1924,Winter,Speed Skating,Silver
15774,M,France-1,FRA,1924,Winter,Figure Skating,Bronze
109005,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
108979,M,Sweden,SWE,1924,Winter,Curling,Silver
88019,M,Sweden,SWE,1924,Winter,Curling,Silver
82259,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
24452,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
23708,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
33160,M,Finland,FIN,1924,Winter,Military Ski Patrol,Silver
16457,M,Nepal,NEP,1924,Winter,Alpinism,Gold
49493,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
82317,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
82338,M,Belgium-1,BEL,1924,Winter,Bobsleigh,Bronze
119489,M,Norway,NOR,1924,Winter,Ski Jumping,Gold
66492,M,United States,USA,1924,Winter,Ice Hockey,Silver
53408,M,Finland,FIN,1924,Winter,Figure Skating,Silver
22417,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
53409,F,Finland,FIN,1924,Winter,Figure Skating,Silver
15776,F,France-1,FRA,1924,Winter,Figure Skating,Bronze
74362,M,France,FRA,1924,Winter,Military Ski Patrol,Bronze
120150,M,Finland,FIN,1924,Winter,Speed Skating,Gold
109616,M,India,IND,1924,Winter,Alpinism,Gold
111842,M,Finland,FIN,1924,Winter,Speed Skating,Gold
18599,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
85529,M,Switzerland-1,SUI,1924,Winter,Bobsleigh,Gold
46625,M,Norway,NOR,1924,Winter,Cross Country Skiing,Gold
18600,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
52402,M,France,FRA,1924,Winter,Curling,Bronze
77886,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
71241,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
87013,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
86727,M,Great Britain,GBR,1924,Winter,Alpinism,Gold
120150,M,Finland,FIN,1924,Winter,Speed Skating,Bronze
46626,M,United States,USA,1924,Winter,Ski Jumping,Bronze
106941,M,Switzerland-1,SUI,1924,Winter,Bobsleigh,Gold
130519,M,Belgium-1,BEL,1924,Winter,Bobsleigh,Bronze
83350,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
12565,M,Austria,AUT,1924,Winter,Figure Skating,Silver
111842,M,Finland,FIN,1924,Winter,Speed Skating,Silver
112050,M,United States,USA,1924,Winter,Ice Hockey,Silver
86315,M,Finland,FIN,1924,Winter,Cross Country Skiing,Bronze
1341,M,Sweden,SWE,1924,Winter,Curling,Silver
76706,M,Finland,FIN,1924,Winter,Military Ski Patrol,Silver
77264,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
93860,M,Sweden,SWE,1924,Winter,Curling,Silver
106940,M,Switzerland-1,SUI,1924,Winter,Bobsleigh,Gold
111842,M,Finland,FIN,1924,Winter,Speed Skating,Bronze
77306,M,United States,USA,1924,Winter,Ice Hockey,Silver
125054,M,France,FRA,1924,Winter,Military Ski Patrol,Bronze
42258,M,Sweden,SWE,1924,Winter,Figure Skating,Gold
117260,M,United States,USA,1924,Winter,Ice Hockey,Silver
129881,M,Sweden,SWE,1924,Winter,Curling,Silver
111896,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
391,M,United States,USA,1924,Winter,Ice Hockey,Silver
100517,M,Great Britain-1,GBR,1924,Winter,Bobsleigh,Silver
83600,M,Great Britain,GBR,1924,Winter,Curling,Gold
32641,F,Austria,AUT,1924,Winter,Figure Skating,Gold
125524,M,Switzerland,SUI,1924,Winter,Military Ski Patrol,Gold
71669,F,United States,USA,1924,Winter,Figure Skating,Silver
10841,M,France,FRA,1924,Winter,Military Ski Patrol,Bronze
120150,M,Finland,FIN,1924,Winter,Speed Skating,Gold
46625,M,Norway,NOR,1924,Winter,Nordic Combined,Gold
17919,M,France,FRA,1924,Winter,Curling,Bronze
124322,M,Belgium-1,BEL,1924,Winter,Bobsleigh,Bronze
14916,M,Finland,FIN,1924,Winter,Military Ski Patrol,Silver
112281,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
128966,M,Canada,CAN,1924,Winter,Ice Hockey,Gold
18492,M,Great Britain,GBR,1924,Winter,Ice Hockey,Bronze
65760,M,United States,USA,1924,Winter,Ice Hockey,Silver
47006,M,United States,USA,1928,Winter,Skeleton,Silver
55194,M,Sweden,SWE,1928,Winter,Ice Hockey,Silver
34188,M,Switzerland,SUI,1928,Winter,Ice Hockey,Bronze
59717,M,Germany-2,GER,1928,Winter,Bobsleigh,Bronze
71669,F,United States,USA,1928,Winter,Figure Skating,Bronze
33492,M,Norway,NOR,1928,Winter,Speed Skating,Gold
55199,M,Sweden,SWE,1928,Winter,Ice Hockey,Silver
15810,F,Austria-2,AUT,1928,Winter,Figure Skating,Bronze
47163,M,Norway,NOR,1928,Winter,Cross Country Skiing,Silver
112552,M,Norway,NOR,1928,Winter,Nordic Combined,Bronze
131673,M,Austria-2,AUT,1928,Winter,Figure Skating,Bronze
63650,M,Switzerland,SUI,1928,Winter,Ice Hockey,Bronze
122491,M,United States-2,USA,1928,Winter,Bobsleigh,Gold
116363,M,Canada,CAN,1928,Winter,Ice Hockey,Gold
75506,M,Switzerland,SUI,1928,Winter,Ice Hockey,Bronze
33492,M,Norway,NOR,1928,Winter,Speed Skating,Silver
66878,M,Sweden,SWE,1928,Winter,Ice Hockey,Silver
33492,M,Norway,NOR,1928,Winter,Speed Skating,Bronze
29073,M,United States-1,USA,1928,Winter,Bobsleigh,Silver
47007,M,United States-1,USA,1928,Winter,Bobsleigh,Silver
39794,M,Switzerland,SUI,1928,Winter,Ice Hockey,Bronze
529,M,Sweden,SWE,1928,Winter,Ice Hockey,Silver
